fastener,mount_part,interface,nominal_CAD_insertion_mm,oem_hole_depth_limit_mm,actual_screw_SKU_pitch_tip_drive_verified,case_depth_verified,seat_fraction,note
S288_left_hip_yaw_DIRECT_CASE_1_0_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,1.000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_DIRECT_CASE_1_1_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999962,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_DIRECT_CASE_1_2_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999983,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_DIRECT_CASE_1_3_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999988,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_DIRECT_CASE_-1_0_M2x8,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999943,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_DIRECT_CASE_-1_1_M2x12,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999916,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_DIRECT_CASE_1_0_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999941,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_DIRECT_CASE_1_1_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999983,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_DIRECT_CASE_1_2_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999968,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_DIRECT_CASE_1_3_M2x5,trunk_base__004,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999956,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_DIRECT_CASE_-1_0_M2x8,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.000000000000001,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_DIRECT_CASE_-1_1_M2x12,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000002,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_DIRECT_CASE_-1_0_M2x5,yaw2roll__013,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000062,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_DIRECT_CASE_-1_1_M2x5,yaw2roll__013,S288_CASE_SELF_TAPPING,2.5,,False,False,0.999999999999989,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_DIRECT_CASE_1_0_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_DIRECT_CASE_1_1_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000016,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_DIRECT_CASE_1_2_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_DIRECT_CASE_1_3_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999953,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_DIRECT_CASE_1_0_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000024,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_DIRECT_CASE_1_1_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000016,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_DIRECT_CASE_1_2_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,1.000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_DIRECT_CASE_1_3_M2x5,upper_leg_rigidity_plate__022,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999991,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_ankle_DIRECT_CASE_-1_0_M2x5,leg__025,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000013,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_ankle_DIRECT_CASE_-1_1_M2x5,leg__025,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999972,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_pitch_DIRECT_CASE_1_0_M2x5,NECK_S288_DIRECT_PLATE_FRONT,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999986,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_pitch_DIRECT_CASE_1_1_M2x5,NECK_S288_DIRECT_PLATE_FRONT,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_pitch_DIRECT_CASE_-1_0_M2x5,NECK_S288_DIRECT_PLATE_BACK,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000007,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_pitch_DIRECT_CASE_-1_1_M2x5,NECK_S288_DIRECT_PLATE_BACK,S288_CASE_SELF_TAPPING,2.5,,False,False,1.000000000000003,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_yaw_DIRECT_CASE_-1_0_M2x5,yaw_roll_motion__039,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000089,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_yaw_DIRECT_CASE_-1_1_M2x5,yaw_roll_motion__039,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000129,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_yaw_DIRECT_CASE_-1_2_M2x5,yaw_roll_motion__039,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000184,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_yaw_DIRECT_CASE_-1_3_M2x5,yaw_roll_motion__039,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000162,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_roll_DIRECT_CASE_1_0_M2x5,motor_support__047,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000009,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_head_roll_DIRECT_CASE_1_1_M2x5,motor_support__047,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999996,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_roll_DIRECT_CASE_-1_0_M2x5,yaw2roll__062,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000042,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_roll_DIRECT_CASE_-1_1_M2x5,yaw2roll__062,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999956,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_knee_DIRECT_CASE_1_0_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999986,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_knee_DIRECT_CASE_1_1_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000007,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_knee_DIRECT_CASE_1_2_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999996,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_knee_DIRECT_CASE_1_3_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000038,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_pitch_DIRECT_CASE_1_0_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999991,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_pitch_DIRECT_CASE_1_1_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000002,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_pitch_DIRECT_CASE_1_2_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999981,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_pitch_DIRECT_CASE_1_3_M2x5,upper_leg_rigidity_plate__071,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000078,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_ankle_DIRECT_CASE_-1_0_M2x5,leg__075,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999998,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_ankle_DIRECT_CASE_-1_1_M2x5,leg__075,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000018,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_neck_pitch_DIRECT_CASE_1_0_M2x5,NECK_S288_DIRECT_PLATE_FRONT,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000002,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_neck_pitch_DIRECT_CASE_1_1_M2x5,NECK_S288_DIRECT_PLATE_FRONT,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999998,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_neck_pitch_DIRECT_CASE_-1_0_M2x5,NECK_S288_DIRECT_PLATE_BACK,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000016,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_neck_pitch_DIRECT_CASE_-1_1_M2x5,NECK_S288_DIRECT_PLATE_BACK,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999974,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_jaw_DIRECT_CASE_-1_0_M2x5,motor_support__047,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999974,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_jaw_DIRECT_CASE_-1_1_M2x5,motor_support__047,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999998,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_L_DIRECT_CASE_-1_0_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000002,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_L_DIRECT_CASE_-1_1_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000009,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_L_DIRECT_CASE_-1_2_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_L_DIRECT_CASE_-1_3_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.000000000000001,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_R_DIRECT_CASE_-1_0_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999996,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_R_DIRECT_CASE_-1_1_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000009,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_R_DIRECT_CASE_-1_2_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999998,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_arm_R_DIRECT_CASE_-1_3_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.000000000000001,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_yaw_DIRECT_CASE_-1_0_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000007,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_yaw_DIRECT_CASE_-1_1_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999964,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_yaw_DIRECT_CASE_-1_2_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000042,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_yaw_DIRECT_CASE_-1_3_M2x5,Rex_Chassis_Spine,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999974,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_pitch_DIRECT_CASE_1_0_M2x8,Rex_Yaw_Pitch_Cradle,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000009,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_pitch_DIRECT_CASE_1_1_M2x8,Rex_Yaw_Pitch_Cradle,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0000000000000009,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_pitch_DIRECT_CASE_-1_0_M2x5,Rex_Yaw_Pitch_Cradle,S288_CASE_SELF_TAPPING,2.5,,False,False,1.0,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_tail_pitch_DIRECT_CASE_-1_1_M2x5,Rex_Yaw_Pitch_Cradle,S288_CASE_SELF_TAPPING,2.5,,False,False,0.9999999999999996,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_OUT_1_M2x5_0,yaw2roll__013,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999964,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_OUT_1_M2x5_1,yaw2roll__013,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999974,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_OUT_1_M2x5_2,yaw2roll__013,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999962,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_OUT_1_M2x5_3,yaw2roll__013,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000075,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_OUT_1_M2x5_4,yaw2roll__013,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000036,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_yaw_OUT_1_M2x5_5,yaw2roll__013,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999939,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_OUT_1_M2x5_0,yaw2roll__062,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999977,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_OUT_1_M2x5_1,yaw2roll__062,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000007,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_OUT_1_M2x5_2,yaw2roll__062,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000036,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_OUT_1_M2x5_3,yaw2roll__062,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000078,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_OUT_1_M2x5_4,yaw2roll__062,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.000000000000001,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_right_hip_yaw_OUT_1_M2x5_5,yaw2roll__062,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999956,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_OUT_1_M2x5_0,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999967,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_OUT_1_M2x5_1,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000002,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_OUT_1_M2x5_2,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000009,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_OUT_1_M2x5_3,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999998,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_OUT_1_M2x5_4,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999988,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_roll_OUT_1_M2x5_5,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999953,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_OUT_1_M2x5_0,leg__025,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000044,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_OUT_1_M2x5_1,leg__025,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000058,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_OUT_1_M2x5_2,leg__025,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999989,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_OUT_1_M2x5_3,leg__025,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.000000000000002,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_OUT_1_M2x5_4,leg__025,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999996,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_knee_OUT_1_M2x5_5,leg__025,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.000000000000006,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_OUT_1_M2x5_0,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.000000000000001,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_OUT_1_M2x5_1,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000022,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_OUT_1_M2x5_2,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.000000000000003,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_OUT_1_M2x5_3,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,0.9999999999999993,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_OUT_1_M2x5_4,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.000000000000007,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_hip_pitch_OUT_1_M2x5_5,hip_l__018,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000075,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_ankle_OUT_-1_M2x5_0,ankle_left__032,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_ankle_OUT_-1_M2x5_1,ankle_left__032,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000027,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_ankle_OUT_-1_M2x5_2,ankle_left__032,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000018,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
S288_left_ankle_OUT_-1_M2x5_3,ankle_left__032,S288_OUTPUT_SELF_TAPPING,2,3,False,False,1.0000000000000004,OEM M2 self-tapping; envelope only; not procurement or manufacturing release
