name,parent,material_design,mass_estimate_g,uncertainty_fraction,method,volume_mm3,center_mm,watertight,measured,material_verified_by_procurement
D24V50F5_M2x5_0,MODULE_COMPACT_ELECTRONICS,Steel estimate; hardware grade not verified,0.2649927802419109,0.35,CAD volume x assumed solid density; not sliced or weighed,33.75704206903324,"[-20.431177317853937, 8.001002053225776, 116.26899905522737]",True,False,False
D24V50F5_M2x5_1,MODULE_COMPACT_ELECTRONICS,Steel estimate; hardware grade not verified,0.2649928051109351,0.35,CAD volume x assumed solid density; not sliced or weighed,33.757045237061796,"[-20.431177378157898, -8.000998886726304, 129.73099990135356]",True,False,False
D24V50F5_WASHER_0,MODULE_COMPACT_ELECTRONICS,Steel estimate; hardware grade not verified,0.03562701394022482,0.35,CAD volume x assumed solid density; not sliced or weighed,4.538473113404436,"[-19.94998310804384, 8.001001964386177, 116.2689992610056]",True,False,False
D24V50F5_WASHER_1,MODULE_COMPACT_ELECTRONICS,Steel estimate; hardware grade not verified,0.03562701898308081,0.35,CAD volume x assumed solid density; not sliced or weighed,4.538473755806473,"[-19.949983108044293, -8.000999152544889, 129.7309999001322]",True,False,False
JMP_20MM_HOOK_LOOP_STRAP_1,FRAME_trunk_base,Nylon hook-and-loop textile (purchased),3.173591427660505,0.2,CAD solid volume x assumed density; not sliced/weighed,4882.44835024693,"[-138.0, -1.8379469507422538e-14, 170.41956333963182]",True,False,False
JMP_20MM_HOOK_LOOP_STRAP_2,FRAME_trunk_base,Nylon hook-and-loop textile (purchased),3.173591428437805,0.2,CAD solid volume x assumed density; not sliced/weighed,4882.448351442777,"[-84.0, -1.8379469502920897e-14, 170.41956334344175]",True,False,False
JMP_3S4000_90x42x27_ENVELOPE,FRAME_trunk_base,LiPo battery module (mixed materials),230,0.2,"User product screenshot mass, unweighed",102060.0,"[-105.0, 0.0, 170.5]",True,False,False
JMP_4000_SHORT_WALL_CRADLE,FRAME_trunk_base,PA12,21.518612391409544,0.2,"CAD solid volume x assumed1.02g/cm3; not sliced, weighed or strength-qualified",21096.678815107396,"[-106.31570725385282, -1.5550228818378864e-09, 156.1142769205805]",True,False,False
JMP_CONTINUOUS_FLOOR_LINER,FRAME_trunk_base,TPU95A,5.2278419187938585,0.2,CAD solid volume x assumed density; not sliced/weighed,4320.530511399884,"[-104.99999998007439, 9.538522772920538e-17, 156.49999999999815]",True,False,False
"JMP_CRADLE_MOUNT_HEAD_(-48, -1)",FRAME_trunk_base,Steel,0.18607215595383986,0.2,CAD solid volume x assumed density; not sliced/weighed,23.703459357177053,"[-88.00000014834887, -32.99999902987951, 157.25000000000125]",True,False,False
"JMP_CRADLE_MOUNT_HEAD_(-48, 1)",FRAME_trunk_base,Steel,0.18607215595383986,0.2,CAD solid volume x assumed density; not sliced/weighed,23.703459357177053,"[-88.00000014834886, 32.99999902987952, 157.25000000000082]",True,False,False
"JMP_CRADLE_MOUNT_HEAD_(-74, -1)",FRAME_trunk_base,Steel,0.18607217089759723,0.2,CAD solid volume x assumed density; not sliced/weighed,23.703461260840413,"[-114.00000014398138, -32.99999902987821, 157.25000000000108]",True,False,False
"JMP_CRADLE_MOUNT_HEAD_(-74, 1)",FRAME_trunk_base,Steel,0.18607217089759723,0.2,CAD solid volume x assumed density; not sliced/weighed,23.703461260840413,"[-114.00000014398137, 32.999999029878225, 157.24999999999986]",True,False,False
"JMP_CRADLE_MOUNT_M25x12_(-48, -1)",FRAME_trunk_base,Steel,0.4594373544583519,0.2,CAD solid volume x assumed density; not sliced/weighed,58.52705152335693,"[-88.00000007199071, -32.99999984403185, 150.5000000000001]",True,False,False
"JMP_CRADLE_MOUNT_M25x12_(-48, 1)",FRAME_trunk_base,Steel,0.4594373544583519,0.2,CAD solid volume x assumed density; not sliced/weighed,58.52705152335693,"[-88.00000007199067, 32.99999984403184, 150.50000000000003]",True,False,False
"JMP_CRADLE_MOUNT_M25x12_(-74, -1)",FRAME_trunk_base,Steel,0.4594368546750207,0.2,CAD solid volume x assumed density; not sliced/weighed,58.52698785669054,"[-114.00000234224557, -32.99999984403481, 150.5]",True,False,False
"JMP_CRADLE_MOUNT_M25x12_(-74, 1)",FRAME_trunk_base,Steel,0.4594368546750207,0.2,CAD solid volume x assumed density; not sliced/weighed,58.52698785669054,"[-114.00000234224568, 32.99999984403481, 150.50000000000009]",True,False,False
"JMP_CRADLE_MOUNT_NUT_(-48, -1)",FRAME_trunk_base,Steel,0.26306753785484177,0.2,CAD solid volume x assumed density; not sliced/weighed,33.511788261763286,"[-87.99999994344307, -32.999999373456575, 146.99999999999986]",True,False,False
"JMP_CRADLE_MOUNT_NUT_(-48, 1)",FRAME_trunk_base,Steel,0.26306753785484177,0.2,CAD solid volume x assumed density; not sliced/weighed,33.511788261763286,"[-87.999999943443, 32.99999937345656, 147.00000000000043]",True,False,False
"JMP_CRADLE_MOUNT_NUT_(-74, -1)",FRAME_trunk_base,Steel,0.2630675024576063,0.2,CAD solid volume x assumed density; not sliced/weighed,33.511783752561314,"[-113.99999960832652, -32.99999937345556, 147.0]",True,False,False
"JMP_CRADLE_MOUNT_NUT_(-74, 1)",FRAME_trunk_base,Steel,0.2630675024576063,0.2,CAD solid volume x assumed density; not sliced/weighed,33.511783752561314,"[-113.99999960832652, 32.99999937345552, 146.99999999999986]",True,False,False
"JMP_CRADLE_MOUNT_SPACER_(-48, -1)",FRAME_trunk_base,PA12,0.015259986602905758,0.2,CAD solid volume x assumed density; not sliced/weighed,14.960771179319371,"[-88.00000053233758, -32.999999432660864, 152.50000762891713]",True,False,False
"JMP_CRADLE_MOUNT_SPACER_(-48, 1)",FRAME_trunk_base,PA12,0.01525998660290572,0.2,CAD solid volume x assumed density; not sliced/weighed,14.960771179319332,"[-88.00000053129756, 32.999999432677996, 152.500007628918]",True,False,False
"JMP_CRADLE_MOUNT_SPACER_(-74, -1)",FRAME_trunk_base,PA12,0.01526001242009041,0.2,CAD solid volume x assumed density; not sliced/weighed,14.960796490284716,"[-114.00000092714579, -32.999999432676056, 152.50000762967588]",True,False,False
"JMP_CRADLE_MOUNT_SPACER_(-74, 1)",FRAME_trunk_base,PA12,0.015260012420090393,0.2,CAD solid volume x assumed density; not sliced/weighed,14.960796490284698,"[-114.00000092610584, 32.99999943266599, 152.5000076296767]",True,False,False
"JMP_CRADLE_MOUNT_WASHER_(-48, -1)",FRAME_trunk_base,Steel,0.05247365969924143,0.2,CAD solid volume x assumed density; not sliced/weighed,6.684542636846042,"[-88.00000057204574, -33.00000066246694, 156.24999999973286]",True,False,False
"JMP_CRADLE_MOUNT_WASHER_(-48, 1)",FRAME_trunk_base,Steel,0.05247365969924143,0.2,CAD solid volume x assumed density; not sliced/weighed,6.684542636846042,"[-88.00000057088174, 33.00000066248602, 156.24999999973286]",True,False,False
"JMP_CRADLE_MOUNT_WASHER_(-74, -1)",FRAME_trunk_base,Steel,0.052473637603418374,0.2,CAD solid volume x assumed density; not sliced/weighed,6.684539822091513,"[-114.0000002107176, -33.000000662475124, 156.25000000015905]",True,False,False
"JMP_CRADLE_MOUNT_WASHER_(-74, 1)",FRAME_trunk_base,Steel,0.052473637603418374,0.2,CAD solid volume x assumed density; not sliced/weighed,6.684539822091513,"[-114.00000020955366, 33.00000066246382, 156.2500000001585]",True,False,False
JY61P_BODY_CAP_COMPONENTS_ENVELOPE,MODULE_COMPACT_ELECTRONICS,Shield/components mixed envelope estimate,0.40560025787353515,0.5,CAD volume x assumed density; electronic envelope split NOT actual BOM or weighing,202.80012893676758,"[-21.800001144409265, 0.0, 145.5]",True,False,False
JY61P_BODY_PCB_ENVELOPE,MODULE_COMPACT_ELECTRONICS,FR4/copper PCB envelope estimate,0.6874813895098355,0.5,CAD volume x assumed density; electronic envelope split NOT actual BOM or weighing,371.61156189720833,"[-23.20000076293944, 0.0, 145.50000000000009]",True,False,False
JY61P_CLIP_M2x6_0,MODULE_COMPACT_ELECTRONICS,Steel estimate; hardware grade not verified,0.28634714282637264,0.5,CAD volume x assumed density; electronic envelope split NOT actual BOM or weighing,36.47734303520671,"[-22.365384793119027, -3.24650260790791e-17, 135.49999999999994]",True,False,False
JY61P_CLIP_M2x6_1,MODULE_COMPACT_ELECTRONICS,Steel estimate; hardware grade not verified,0.28634714282637264,0.5,CAD volume x assumed density; electronic envelope split NOT actual BOM or weighing,36.47734303520671,"[-22.365384793119027, -3.24650260790791e-17, 155.49999999999972]",True,False,False
JY61P_EDGE_CLIP_0,MODULE_COMPACT_ELECTRONICS,PA12,0.024885124222867705,0.5,CAD volume x assumed density; electronic envelope split NOT actual BOM or weighing,24.397180610654612,"[-21.8000011444091, 0.0, 136.15254389658813]",True,False,False
JY61P_EDGE_CLIP_1,MODULE_COMPACT_ELECTRONICS,PA12,0.024885124222867705,0.5,CAD volume x assumed density; electronic envelope split NOT actual BOM or weighing,24.397180610654612,"[-21.8000011444092, 4.8539948604402506e-17, 154.84745610341204]",True,False,False
MID_CARRIER_M25x10_0,MODULE_COMPACT_ELECTRONICS,Steel,0.5709748255224062,0.25,CAD solid volume x assumed density; not sliced/weighed,72.73564656336384,"[-38.0, -27.00000000000001, 150.38055268465212]",True,False,False
